"group_id","group_name","n_categories","n_products","top_categories","all_categories"
"1","fashion_apparel","2","46.0","fashion_roupa_feminina, fashion_esporte","fashion_esporte, fashion_roupa_feminina"
"2","cama_mesa_banho","2","3140.0","cama_mesa_banho, casa_conforto","casa_conforto, cama_mesa_banho"
"3","fashion_bolsas_e_acessorios","2","854.0","fashion_bolsas_e_acessorios, fashion_roupa_infanto_juvenil","fashion_roupa_infanto_juvenil, fashion_bolsas_e_acessorios"
"4","construcao_ferramentas_jardim","2","102.0","construcao_ferramentas_jardim, flores","flores, construcao_ferramentas_jardim"
"5","livros_tecnicos","2","150.0","livros_tecnicos, musica","musica, livros_tecnicos"
"6","moveis_decoracao","5","3106.0","moveis_decoracao, casa_construcao, construcao_ferramentas_seguranca","artes, construcao_ferramentas_iluminacao, construcao_ferramentas_seguranca, casa_construcao, moveis_decoracao"
"7","electronics_misc","3","801.0","cool_stuff, tablets_impressao_imagem, pc_gamer","pc_gamer, tablets_impressao_imagem, cool_stuff"
"8","gifts_household","5","3112.0","brinquedos, bebes, ferramentas_jardim","la_cuisine, artes_e_artesanato, ferramentas_jardim, bebes, brinquedos"
"9","music_homecomfort","2","294.0","instrumentos_musicais, casa_conforto_2","casa_conforto_2, instrumentos_musicais"
"10","diversified_other","48","20736.0","esporte_lazer, beleza_saude, utilidades_domesticas","cds_dvds_musicais, seguros_e_servicos, portateis_cozinha_e_preparadores_de_alimentos, moveis_colchao_e_estofado, fraldas_higiene, artigos_de_festas, cine_foto, pcs, livros_importados, portateis_casa_forno_e_cafe, construcao_ferramentas_ferramentas, moveis_quarto, dvds_blu_ray, fashion_underwear_e_moda_praia, audio, artigos_de_natal, industria_comercio_e_negocios, agro_industria_e_comercio, bebidas, alimentos, eletrodomesticos_2, sinalizacao_e_seguranca, moveis_cozinha_area_de_servico_jantar_e_jardim, fashion_roupa_masculina, market_place, alimentos_bebidas, telefonia_fixa, climatizacao, moveis_sala, fashion_calcados, livros_interesse_geral, eletroportateis, moveis_escritorio, consoles_games, malas_acessorios, eletrodomesticos, construcao_ferramentas_construcao, eletronicos, pet_shop, papelaria, perfumaria, telefonia, relogios_presentes, informatica_acessorios, automotivo, utilidades_domesticas, beleza_saude, esporte_lazer"
