product_category_name,category_group_id
agro_industria_e_comercio,10
alimentos,10
alimentos_bebidas,10
artes,6
artes_e_artesanato,8
artigos_de_festas,10
artigos_de_natal,10
audio,10
automotivo,10
bebes,8
bebidas,10
beleza_saude,10
brinquedos,8
cama_mesa_banho,2
casa_conforto,2
casa_conforto_2,9
casa_construcao,6
cds_dvds_musicais,10
cine_foto,10
climatizacao,10
consoles_games,10
construcao_ferramentas_construcao,10
construcao_ferramentas_ferramentas,10
construcao_ferramentas_iluminacao,6
construcao_ferramentas_jardim,4
construcao_ferramentas_seguranca,6
cool_stuff,7
dvds_blu_ray,10
eletrodomesticos,10
eletrodomesticos_2,10
eletronicos,10
eletroportateis,10
esporte_lazer,10
fashion_bolsas_e_acessorios,3
fashion_calcados,10
fashion_esporte,1
fashion_roupa_feminina,1
fashion_roupa_infanto_juvenil,3
fashion_roupa_masculina,10
fashion_underwear_e_moda_praia,10
ferramentas_jardim,8
flores,4
fraldas_higiene,10
industria_comercio_e_negocios,10
informatica_acessorios,10
instrumentos_musicais,9
la_cuisine,8
livros_importados,10
livros_interesse_geral,10
livros_tecnicos,5
malas_acessorios,10
market_place,10
moveis_colchao_e_estofado,10
moveis_cozinha_area_de_servico_jantar_e_jardim,10
moveis_decoracao,6
moveis_escritorio,10
moveis_quarto,10
moveis_sala,10
musica,5
papelaria,10
pc_gamer,7
pcs,10
perfumaria,10
pet_shop,10
portateis_casa_forno_e_cafe,10
portateis_cozinha_e_preparadores_de_alimentos,10
relogios_presentes,10
seguros_e_servicos,10
sinalizacao_e_seguranca,10
tablets_impressao_imagem,7
telefonia,10
telefonia_fixa,10
utilidades_domesticas,10
