customer_unique_id,system,top_10
011575986092c30523ecb71ff10cb473,Most-Popular,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
011575986092c30523ecb71ff10cb473,Category-Popular,422879e10f46682990de24d770e7f83d|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|c4baedd846ed09b85f78a781b522f126|08574b074924071f4e201e151b152b4e|b0961721fd839e9982420e807758a2a6|8c591ab0ca519558779df02023177f44|880be32f4db1d9f6e2bec38fb6ac23ab|b5e13c9a353102f79c6206ff5cb61a50
011575986092c30523ecb71ff10cb473,Apriori-only,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
011575986092c30523ecb71ff10cb473,FP-Growth-only,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
011575986092c30523ecb71ff10cb473,CF-only,5abb262996451f878f52e83d721e74dc
011575986092c30523ecb71ff10cb473,Hybrid (RRF),5abb262996451f878f52e83d721e74dc|b8ce63487e1d8881dac505b123c8e9b6|23601216d4de33d54c6801f27dc59357|33d26f298db59a201858e0248d9cee6c|4eda54569384f6cbe0511828fc574fb0|b8fbd66f1621afeb9c510b4b9705a5b9|f95d5d21561ea085ba1e1a4e53840844|d902e8400cd0c58b64ea157af940e670|4e0946aebc8e1d7521219ec1e7380aed|b865aecbf934fe78d172e5a0f7a73ec0
012452d40dafae4df401bced74cdb490,Most-Popular,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
012452d40dafae4df401bced74cdb490,Category-Popular,154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf|42a2c92a0979a949ca4ea89ec5c7b934|3dd2a17168ec895c781a9191c1e95ad7|e53e557d5a159f5aa2c5e995dfdf244b|0aabfb375647d9738ad0f7b4ea3653b1|e0d64dcfaa3b6db5c54ca298ae101d05|a62e25e09e05e6faf31d90c6ec1aa3d1
012452d40dafae4df401bced74cdb490,Apriori-only,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
012452d40dafae4df401bced74cdb490,FP-Growth-only,99a4788cb24856965c36a24e339b6058|422879e10f46682990de24d770e7f83d|aca2eb7d00ea1a7b8ebd4e68314663af|389d119b48cf3043d311335e499d9c6b|53759a2ecddad2bb87a079a1f1519f73|368c6c730842d78016ad823897a372db|154e7e31ebfa092203795c972e5804a6|d1c427060a0f73f6b889a5c7c61f2ac4|2b4609f8948be18874494203496bc318|7c1bd920dbdf22470b68bde975dd3ccf
