algorithm,basket_type,min_support,min_confidence,number_of_rules,average_lift,runtime_seconds
Apriori,category,0.001,0.1,0,0,0.013522624969482422
Apriori,category,0.001,0.3,0,0,0.01264190673828125
Apriori,category,0.001,0.5,0,0,0.010193109512329102
Apriori,category,0.001,0.7,0,0,0.011426925659179688
Apriori,category,0.001,0.05,0,0,0.010499000549316406
Apriori,category,0.005,0.1,0,0,0.0074062347412109375
Apriori,category,0.005,0.3,0,0,0.007266044616699219
Apriori,category,0.005,0.5,0,0,0.00649571418762207
Apriori,category,0.005,0.7,0,0,0.006188154220581055
Apriori,category,0.005,0.05,0,0,0.007055759429931641
Apriori,category,0.01,0.1,0,0,0.0049114227294921875
Apriori,category,0.01,0.3,0,0,0.005478858947753906
Apriori,category,0.01,0.5,0,0,0.005693197250366211
Apriori,category,0.01,0.7,0,0,0.005661725997924805
Apriori,category,0.01,0.05,0,0,0.004856586456298828
Apriori,category,0.02,0.1,0,0,0.00471949577331543
Apriori,category,0.02,0.3,0,0,0.0042302608489990234
Apriori,category,0.02,0.5,0,0,0.0036878585815429688
Apriori,category,0.02,0.7,0,0,0.0033249855041503906
Apriori,category,0.02,0.05,0,0,0.0033817291259765625
Apriori,category,0.0005,0.1,0,0,0.011900186538696289
Apriori,category,0.0005,0.3,0,0,0.011432409286499023
Apriori,category,0.0005,0.5,0,0,0.011032342910766602
Apriori,category,0.0005,0.7,0,0,0.010788917541503906
Apriori,category,0.0005,0.05,0,0,0.011336088180541992
Apriori,category,0.0001,0.1,0,0,0.010910749435424805
Apriori,category,0.0001,0.3,0,0,0.012459993362426758
Apriori,category,0.0001,0.5,0,0,0.013375520706176758
Apriori,category,0.0001,0.7,0,0,0.01206827163696289
Apriori,category,0.0001,0.05,0,0,0.011226415634155273
FP-Growth,category,0.001,0.1,0,0,0.22742724418640137
FP-Growth,category,0.001,0.3,0,0,0.2902045249938965
FP-Growth,category,0.001,0.5,0,0,0.276364803314209
FP-Growth,category,0.001,0.7,0,0,0.2593271732330322
FP-Growth,category,0.001,0.05,0,0,0.23705577850341797
FP-Growth,category,0.005,0.1,0,0,0.2484114170074463
FP-Growth,category,0.005,0.3,0,0,0.28307175636291504
FP-Growth,category,0.005,0.5,0,0,0.24737334251403809
FP-Growth,category,0.005,0.7,0,0,0.2154989242553711
FP-Growth,category,0.005,0.05,0,0,0.2172696590423584
FP-Growth,category,0.01,0.1,0,0,0.19594788551330566
FP-Growth,category,0.01,0.3,0,0,0.21281838417053223
FP-Growth,category,0.01,0.5,0,0,0.2175290584564209
FP-Growth,category,0.01,0.7,0,0,0.2151353359222412
FP-Growth,category,0.01,0.05,0,0,0.19916653633117676
FP-Growth,category,0.02,0.1,0,0,0.2126924991607666
FP-Growth,category,0.02,0.3,0,0,0.21006488800048828
FP-Growth,category,0.02,0.5,0,0,0.21539783477783203
FP-Growth,category,0.02,0.7,0,0,0.21062970161437988
FP-Growth,category,0.02,0.05,0,0,0.21850156784057617
FP-Growth,category,0.0005,0.1,0,0,0.21716046333312988
FP-Growth,category,0.0005,0.3,0,0,0.21123218536376953
FP-Growth,category,0.0005,0.5,0,0,0.21309971809387207
FP-Growth,category,0.0005,0.7,0,0,0.21308159828186035
FP-Growth,category,0.0005,0.05,0,0,0.21357464790344238
FP-Growth,category,0.0001,0.1,0,0,0.23680520057678223
FP-Growth,category,0.0001,0.3,0,0,0.21058297157287598
FP-Growth,category,0.0001,0.5,0,0,0.20313763618469238
FP-Growth,category,0.0001,0.7,0,0,0.2134089469909668
FP-Growth,category,0.0001,0.05,0,0,0.2137758731842041
ECLAT-style,category,0.001,0.1,0,0,0.02705097198486328
ECLAT-style,category,0.001,0.3,0,0,0.027797222137451172
ECLAT-style,category,0.001,0.5,0,0,0.02820897102355957
ECLAT-style,category,0.001,0.7,0,0,0.03106856346130371
ECLAT-style,category,0.001,0.05,0,0,0.0314030647277832
ECLAT-style,category,0.005,0.1,0,0,0.03077101707458496
ECLAT-style,category,0.005,0.3,0,0,0.03108978271484375
ECLAT-style,category,0.005,0.5,0,0,0.030991077423095703
ECLAT-style,category,0.005,0.7,0,0,0.030456066131591797
ECLAT-style,category,0.005,0.05,0,0,0.022753238677978516
ECLAT-style,category,0.01,0.1,0,0,0.032546043395996094
ECLAT-style,category,0.01,0.3,0,0,0.03269171714782715
ECLAT-style,category,0.01,0.5,0,0,0.03180241584777832
ECLAT-style,category,0.01,0.7,0,0,0.031806230545043945
ECLAT-style,category,0.01,0.05,0,0,0.03053426742553711
ECLAT-style,category,0.02,0.1,0,0,0.029842615127563477
ECLAT-style,category,0.02,0.3,0,0,0.02433013916015625
ECLAT-style,category,0.02,0.5,0,0,0.030254602432250977
ECLAT-style,category,0.02,0.7,0,0,0.02239823341369629
ECLAT-style,category,0.02,0.05,0,0,0.031006336212158203
ECLAT-style,category,0.0005,0.1,0,0,0.03180241584777832
ECLAT-style,category,0.0005,0.3,0,0,0.03564023971557617
ECLAT-style,category,0.0005,0.5,0,0,0.03263545036315918
ECLAT-style,category,0.0005,0.7,0,0,0.031462907791137695
ECLAT-style,category,0.0005,0.05,0,0,0.03174400329589844
ECLAT-style,category,0.0001,0.1,0,0,0.022181987762451172
ECLAT-style,category,0.0001,0.3,0,0,0.023244380950927734
ECLAT-style,category,0.0001,0.5,0,0,0.03376173973083496
ECLAT-style,category,0.0001,0.7,0,0,0.02229595184326172
ECLAT-style,category,0.0001,0.05,0,0,0.03154444694519043
