antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'livros_tecnicos'}),frozenset({'construcao_ferramentas_jardim'}),0.0028213166144200625,0.007836990595611285,0.00031347962382445143,0.11111111111111113,14.177777777777782,1.0,0.0002913689920499995,1.1161833855799375,0.9320968248978309,0.030303030303030304,0.10408987186238373,0.07555555555555557
frozenset({'fashion_apparel'}),frozenset({'fashion_bolsas_e_acessorios'}),0.0009404388714733542,0.034796238244514104,0.00031347962382445143,0.33333333333333337,9.579579579579582,1.0,0.0002807558887982626,1.447805642633229,0.8964543457797302,0.008849557522123895,0.30929955613294363,0.1711711711711712
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.02884012539184953,0.11630094043887147,0.008463949843260187,0.2934782608695652,2.5234384155631076,1.0,0.00510981613781311,1.2507740535326741,0.6216435932381703,0.061926605504587146,0.20049508768141647,0.18312727059650766
frozenset({'gifts_household'}),frozenset({'electronics_misc'}),0.11630094043887147,0.02884012539184953,0.008463949843260187,0.07277628032345013,2.5234384155631076,1.0,0.00510981613781311,1.0473846322082088,0.6831684469144561,0.061926605504587146,0.04524090840277789,0.18312727059650766
frozenset({'music_homecomfort'}),frozenset({'fashion_bolsas_e_acessorios'}),0.005015673981191223,0.034796238244514104,0.00031347962382445143,0.0625,1.7961711711711714,1.0,0.00013895303701811108,1.0295506792058517,0.44549464398235666,0.007936507936507936,0.028702500811951935,0.03575450450450451
frozenset({'construcao_ferramentas_jardim'}),frozenset({'moveis_decoracao'}),0.007836990595611285,0.14890282131661442,0.0009404388714733542,0.12000000000000001,0.8058947368421053,1.0,-0.00022651113884494052,0.9671558848674837,-0.1953389830508474,0.006036217303822938,-0.033959484346224665,0.06315789473684211
frozenset({'livros_tecnicos'}),frozenset({'moveis_decoracao'}),0.0028213166144200625,0.14890282131661442,0.00031347962382445143,0.11111111111111113,0.7461988304093569,1.0,-0.00010662237989013466,0.9574843260188088,-0.2543366150961086,0.002070393374741201,-0.04440351954164106,0.056608187134502934
frozenset({'gifts_household'}),frozenset({'moveis_decoracao'}),0.11630094043887147,0.14890282131661442,0.011598746081504702,0.09973045822102426,0.6697687615264577,1.0,-0.005718792071618791,0.9453803990764552,-0.3581274846459648,0.04573547589616811,-0.05777526271636559,0.08881259753156476
frozenset({'moveis_decoracao'}),frozenset({'gifts_household'}),0.14890282131661442,0.11630094043887147,0.011598746081504702,0.07789473684210527,0.6697687615264577,1.0,-0.005718792071618791,0.9583494367386667,-0.3668137409391741,0.04573547589616811,-0.043460727021526854,0.08881259753156476
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.14890282131661442,0.25329153605015675,0.02413793103448276,0.16210526315789472,0.6399947889525794,1.0,-0.01357789329900453,0.8911721617491848,-0.39792641658866723,0.06384742951907131,-0.12211763666092186,0.1287011464304325
