min_support,min_confidence,frequent_itemsets,rules,average_lift,runtime_seconds
0.001,0.05,1,0,0,0.0053980350494384766
0.001,0.08,1,0,0,0.0016422271728515625
0.001,0.1,1,0,0,0.0015742778778076172
0.0008,0.05,1,0,0,0.001543283462524414
0.0008,0.08,1,0,0,0.0015521049499511719
0.0008,0.1,1,0,0,0.001936197280883789
0.0005,0.05,1,0,0,0.0017695426940917969
0.0005,0.08,1,0,0,0.0015635490417480469
0.0005,0.1,1,0,0,0.0014586448669433594
0.0003,0.05,1,0,0,0.0014789104461669922
0.0003,0.08,1,0,0,0.0014307498931884766
0.0003,0.1,1,0,0,0.001508951187133789
0.0002,0.05,1,0,0,0.001619577407836914
0.0002,0.08,1,0,0,0.001966714859008789
0.0002,0.1,1,0,0,0.0016331672668457031
