query_item,recommended_item,rank,algorithm,basket_type,condition,segment_id,support,confidence,lift
cama_mesa_banho,moveis_decoracao,1,Apriori,category,all,,0.02413793103448276,0.09529702970297028,0.6399947889525793
cama_mesa_banho,diversified_other,2,Apriori,category,all,,0.017241379310344827,0.06806930693069306,0.1269830930461467
construcao_ferramentas_jardim,moveis_decoracao,1,Apriori,category,all,,0.0009404388714733542,0.12000000000000001,0.8058947368421053
construcao_ferramentas_jardim,cama_mesa_banho,2,Apriori,category,all,,0.0006269592476489029,0.08000000000000002,0.3158415841584159
construcao_ferramentas_jardim,diversified_other,3,Apriori,category,all,,0.0006269592476489029,0.08000000000000002,0.14923976608187137
electronics_misc,gifts_household,1,Apriori,category,all,,0.008463949843260187,0.2934782608695652,2.5234384155631076
electronics_misc,moveis_decoracao,2,Apriori,category,all,,0.00219435736677116,0.07608695652173914,0.5109839816933639
electronics_misc,diversified_other,3,Apriori,category,all,,0.007210031347962382,0.25,0.46637426900584794
electronics_misc,cama_mesa_banho,4,Apriori,category,all,,0.003134796238244514,0.10869565217391304,0.4291325871717606
fashion_apparel,fashion_bolsas_e_acessorios,1,Apriori,category,all,,0.00031347962382445143,0.33333333333333337,9.579579579579582
gifts_household,electronics_misc,1,Apriori,category,all,,0.008463949843260187,0.07277628032345013,2.5234384155631076
gifts_household,moveis_decoracao,2,Apriori,category,all,,0.011598746081504702,0.09973045822102426,0.6697687615264577
gifts_household,diversified_other,3,Apriori,category,all,,0.023510971786833857,0.20215633423180593,0.37712205040904145
gifts_household,cama_mesa_banho,4,Apriori,category,all,,0.007210031347962382,0.06199460916442048,0.2447559445971551
livros_tecnicos,construcao_ferramentas_jardim,1,Apriori,category,all,,0.00031347962382445143,0.11111111111111113,14.177777777777782
livros_tecnicos,moveis_decoracao,2,Apriori,category,all,,0.00031347962382445143,0.11111111111111113,0.7461988304093569
livros_tecnicos,diversified_other,3,Apriori,category,all,,0.0006269592476489029,0.22222222222222227,0.41455490578297605
moveis_decoracao,gifts_household,1,Apriori,category,all,,0.011598746081504702,0.07789473684210527,0.6697687615264577
moveis_decoracao,cama_mesa_banho,2,Apriori,category,all,,0.02413793103448276,0.16210526315789472,0.6399947889525794
