antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,condition,algorithm,basket_type
frozenset({'livros_tecnicos'}),frozenset({'construcao_ferramentas_jardim'}),0.0020060180541624875,0.009027081243731194,0.0010030090270812437,0.5,55.388888888888886,1.0,0.0009849005391299275,1.9819458375125376,0.9839195979899498,0.1,0.49544534412955465,0.3055555555555556,Inverno,FP-Growth,category
frozenset({'construcao_ferramentas_jardim'}),frozenset({'livros_tecnicos'}),0.009027081243731194,0.0020060180541624875,0.0010030090270812437,0.1111111111111111,55.388888888888886,1.0,0.0009849005391299275,1.1227432296890674,0.9908906882591093,0.1,0.10932439977666107,0.3055555555555556,Inverno,FP-Growth,category
frozenset({'fashion_apparel'}),frozenset({'fashion_bolsas_e_acessorios'}),0.0014970059880239522,0.0374251497005988,0.0014970059880239522,1.0,26.720000000000002,1.0,0.001440980314819463,inf,0.9640179910044977,0.04000000000000001,1.0,0.52,Verão,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'fashion_bolsas_e_acessorios'}),0.0029940119760479044,0.0374251497005988,0.0014970059880239522,0.5,13.360000000000001,1.0,0.0013849546416149737,1.9251497005988023,0.9279279279279279,0.038461538461538464,0.4805598755832038,0.27,Verão,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'electronics_misc'}),0.09730538922155689,0.02694610778443114,0.010479041916167664,0.10769230769230768,3.996581196581196,1.0,0.007857040410197568,1.0904914309312408,0.8306088604596067,0.09210526315789472,0.08298224852071005,0.24829059829059827,Verão,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.02694610778443114,0.09730538922155689,0.010479041916167664,0.38888888888888884,3.9965811965811957,1.0,0.007857040410197568,1.4771366358192706,0.7705494505494506,0.09210526315789472,0.32301455684540253,0.24829059829059827,Verão,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.0328719723183391,0.16089965397923875,0.015570934256055362,0.4736842105263158,2.943972835314092,1.0,0.010281845284419487,1.5942906574394464,0.6827668455575432,0.08737864077669902,0.3727618014107434,0.28522920203735147,Primavera,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'electronics_misc'}),0.16089965397923875,0.0328719723183391,0.015570934256055362,0.0967741935483871,2.9439728353140917,1.0,0.010281845284419487,1.0707488877904103,0.7869415807560138,0.08737864077669902,0.06607421086040739,0.28522920203735147,Primavera,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'gifts_household'}),0.028084252758274825,0.11434302908726178,0.007021063189568706,0.25,2.18640350877193,1.0,0.003809824659535276,1.1808759612169843,0.5583075335397317,0.05185185185185186,0.1531710079275198,0.15570175438596492,Inverno,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'electronics_misc'}),0.11434302908726178,0.028084252758274825,0.007021063189568706,0.06140350877192983,2.18640350877193,1.0,0.003809824659535276,1.0354990204257633,0.6126840317100793,0.05185185185185186,0.03428204153314142,0.15570175438596492,Inverno,FP-Growth,category
