algorithm,basket_type,min_support,min_confidence,number_of_rules,average_lift,runtime_seconds
Apriori,category,0.001,0.1,7,0.7590831596082968,0.0063321590423583984
Apriori,category,0.001,0.3,1,0.5829678362573099,0.004813432693481445
Apriori,category,0.001,0.5,0,0.0,0.002109050750732422
Apriori,category,0.001,0.7,0,0.0,0.0022208690643310547
Apriori,category,0.001,0.05,14,0.7642339902973818,0.005095720291137695
Apriori,category,0.005,0.1,5,0.8602963387658014,0.0047223567962646484
Apriori,category,0.005,0.3,0,0.0,0.0021402835845947266
Apriori,category,0.005,0.5,0,0.0,0.0022478103637695312
Apriori,category,0.005,0.7,0,0.0,0.002256631851196289
Apriori,category,0.005,0.05,11,0.8341992235491736,0.005360841751098633
Apriori,category,0.01,0.1,3,0.4372230030866837,0.004796266555786133
Apriori,category,0.01,0.3,0,0.0,0.0022330284118652344
Apriori,category,0.01,0.5,0,0.0,0.001840353012084961
Apriori,category,0.01,0.7,0,0.0,0.001967906951904297
Apriori,category,0.01,0.05,7,0.48831205918738474,0.006368160247802734
Apriori,category,0.02,0.1,3,0.4372230030866837,0.005158662796020508
Apriori,category,0.02,0.3,0,0.0,0.0020804405212402344
Apriori,category,0.02,0.5,0,0.0,0.0025777816772460938
Apriori,category,0.02,0.7,0,0.0,0.0027511119842529297
Apriori,category,0.02,0.05,4,0.48791594955315765,0.004517316818237305
Apriori,category,0.0005,0.1,9,0.7260035288759066,0.004620552062988281
Apriori,category,0.0005,0.3,1,0.5829678362573099,0.004814863204956055
Apriori,category,0.0005,0.5,0,0.0,0.003067493438720703
Apriori,category,0.0005,0.7,0,0.0,0.0023152828216552734
Apriori,category,0.0005,0.05,18,0.6880448253904841,0.004478931427001953
Apriori,category,0.0001,0.1,12,2.5864656623041564,0.00468897819519043
Apriori,category,0.0001,0.3,2,5.081273707918446,0.0058667659759521484
Apriori,category,0.0001,0.5,0,0.0,0.0023169517517089844
Apriori,category,0.0001,0.7,0,0.0,0.0020112991333007812
Apriori,category,0.0001,0.05,24,1.651736249162698,0.0045146942138671875
FP-Growth,category,0.001,0.1,7,0.7590831596082966,0.011505842208862305
FP-Growth,category,0.001,0.3,1,0.5829678362573099,0.011127233505249023
FP-Growth,category,0.001,0.5,0,0.0,0.009009122848510742
FP-Growth,category,0.001,0.7,0,0.0,0.009503841400146484
FP-Growth,category,0.001,0.05,14,0.7642339902973819,0.012238740921020508
FP-Growth,category,0.005,0.1,5,0.8602963387658014,0.012027502059936523
FP-Growth,category,0.005,0.3,0,0.0,0.00921320915222168
FP-Growth,category,0.005,0.5,0,0.0,0.008809804916381836
FP-Growth,category,0.005,0.7,0,0.0,0.008986711502075195
FP-Growth,category,0.005,0.05,11,0.8341992235491738,0.010736227035522461
FP-Growth,category,0.01,0.1,3,0.4372230030866837,0.010501623153686523
FP-Growth,category,0.01,0.3,0,0.0,0.008260250091552734
FP-Growth,category,0.01,0.5,0,0.0,0.007884025573730469
FP-Growth,category,0.01,0.7,0,0.0,0.008828401565551758
FP-Growth,category,0.01,0.05,7,0.4883120591873847,0.011341333389282227
FP-Growth,category,0.02,0.1,3,0.4372230030866837,0.011706113815307617
FP-Growth,category,0.02,0.3,0,0.0,0.008967876434326172
FP-Growth,category,0.02,0.5,0,0.0,0.008524179458618164
FP-Growth,category,0.02,0.7,0,0.0,0.009241104125976562
FP-Growth,category,0.02,0.05,4,0.48791594955315765,0.011255979537963867
FP-Growth,category,0.0005,0.1,9,0.7260035288759066,0.012072086334228516
FP-Growth,category,0.0005,0.3,1,0.5829678362573099,0.012025594711303711
FP-Growth,category,0.0005,0.5,0,0.0,0.009027719497680664
FP-Growth,category,0.0005,0.7,0,0.0,0.009050130844116211
FP-Growth,category,0.0005,0.05,18,0.6880448253904842,0.012544870376586914
FP-Growth,category,0.0001,0.1,12,2.586465662304157,0.011806964874267578
FP-Growth,category,0.0001,0.3,2,5.081273707918446,0.012319087982177734
FP-Growth,category,0.0001,0.5,0,0.0,0.009572744369506836
FP-Growth,category,0.0001,0.7,0,0.0,0.008908748626708984
FP-Growth,category,0.0001,0.05,24,1.6517362491626981,0.01274561882019043
ECLAT-style,category,0.001,0.1,7,0.7590831596082968,0.0029435157775878906
ECLAT-style,category,0.001,0.3,1,0.5829678362573099,0.004814624786376953
ECLAT-style,category,0.001,0.5,0,0.0,0.0015749931335449219
ECLAT-style,category,0.001,0.7,0,0.0,0.0014007091522216797
ECLAT-style,category,0.001,0.05,14,0.764233990297382,0.0019216537475585938
ECLAT-style,category,0.005,0.1,5,0.8602963387658014,0.0018279552459716797
ECLAT-style,category,0.005,0.3,0,0.0,0.0012331008911132812
ECLAT-style,category,0.005,0.5,0,0.0,0.0011761188507080078
ECLAT-style,category,0.005,0.7,0,0.0,0.0011396408081054688
ECLAT-style,category,0.005,0.05,11,0.8341992235491738,0.0022013187408447266
ECLAT-style,category,0.01,0.1,3,0.4372230030866837,0.0021615028381347656
ECLAT-style,category,0.01,0.3,0,0.0,0.0016891956329345703
ECLAT-style,category,0.01,0.5,0,0.0,0.0014905929565429688
ECLAT-style,category,0.01,0.7,0,0.0,0.001233816146850586
ECLAT-style,category,0.01,0.05,7,0.4883120591873847,0.0019083023071289062
ECLAT-style,category,0.02,0.1,3,0.4372230030866837,0.0018851757049560547
ECLAT-style,category,0.02,0.3,0,0.0,0.0012004375457763672
ECLAT-style,category,0.02,0.5,0,0.0,0.0011434555053710938
ECLAT-style,category,0.02,0.7,0,0.0,0.0011889934539794922
ECLAT-style,category,0.02,0.05,4,0.48791594955315765,0.002086639404296875
ECLAT-style,category,0.0005,0.1,9,0.7260035288759065,0.002483844757080078
ECLAT-style,category,0.0005,0.3,1,0.5829678362573099,0.0026051998138427734
ECLAT-style,category,0.0005,0.5,0,0.0,0.0016815662384033203
ECLAT-style,category,0.0005,0.7,0,0.0,0.0015392303466796875
ECLAT-style,category,0.0005,0.05,18,0.6880448253904842,0.002266407012939453
ECLAT-style,category,0.0001,0.1,12,2.5864656623041564,0.002308368682861328
ECLAT-style,category,0.0001,0.3,2,5.081273707918446,0.002264261245727539
ECLAT-style,category,0.0001,0.5,0,0.0,0.0015616416931152344
ECLAT-style,category,0.0001,0.7,0,0.0,0.0015368461608886719
